index,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Current_Role,Did you switch careers into Data?,Current Salary(USD),Industry,Programming_Language,Happiness_Index(Salary),Happiness_Index(Work/Life Balance),Happiness_Index(Coworkers),Happiness_Index(Management),Happiness_Index(Upward Mobility),Happiness_Index(Learning New Things),How difficult was it for you to break into Data?,"If you were to look for a new job today, what would be the most important thing to you?",Gender,Country,Education,Ethnicity,Salary,Age_group
109,6/10/2022,9:40,0:01:32,Data Analyst,Yes,0-40k,Tech,C/C++,Extremely unhappy,Extremely unhappy,Extremely unhappy,Unhappy,Unhappy,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,India,Bachelors,Asian or Asian American,20.0,21-25
110,6/10/2022,9:41,0:01:08,Data Analyst,Yes,0-40k,Tech,Python,Very unhappy,Unhappy,Very unhappy,Somewhat happy,Happy,6.0,Neither easy nor difficult,Better Salary,Female,Nigeria,Bachelors,Black or African American,20.0,26-30
111,6/10/2022,9:44,0:04:27,Data Scientist,Yes,150k-225k,Finance,Python,Very happy,Somewhat happy,Somewhat unhappy,Happy,Neutral,4.0,Difficult,Good Work/Life Balance,Male,Portugal,Masters,White or Caucasian,187.5,21-25
112,6/10/2022,9:44,0:02:00,Data Analyst,Yes,66k-85k,Distribution,SQL,Somewhat happy,Extremely happy,Extremely happy,Very happy,Happy,7.0,Very Easy,Remote Work,Female,United States,Bachelors,Asian or Asian American,75.5,36-40
113,6/10/2022,9:45,0:01:19,Student/Looking/None,No,0-40k,Other (Please Specify),Python,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,5.0,Neither easy nor difficult,Better Salary,Male,Turkey,Bachelors,White or Caucasian,20.0,21-25
114,6/10/2022,9:45,0:02:36,Social Media Analyst,Yes,86k-105k,Finance,None,Very happy,Overjoyed,Ecstatic,Happy,Neutral,4.0,Neither easy nor difficult,Opportunity for advancement ,Female,United States,Masters,Hispanic or Latino,95.5,41-45
115,6/10/2022,9:46,0:00:48,Data Analyst,No,41k-65k,Tech,R,Ecstatic,Extremely happy,Overjoyed,Ecstatic,Ecstatic,10.0,Easy,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,21-25
116,6/10/2022,9:47,0:01:20,Data Scientist,No,86k-105k,Finance,Python,Extremely happy,Very happy,Happy,Happy,Somewhat happy,9.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,95.5,21-25
117,6/10/2022,9:47,0:02:04,Data Analyst,No,0-40k,Customer Service,Python,Very unhappy,Neutral,Neutral,Somewhat unhappy,Neutral,5.0,Easy,Better Salary,Male,Colombia,High School,Hispanic or Latino,20.0,21-25
118,6/10/2022,9:48,0:02:36,Data Engineer,Yes,41k-65k,Ecom,JavaScript,Happy,Happy,Happy,Happy,Happy,6.0,Difficult,Good Culture,Male,Egypt,High School,Middleeas,53.0,21-25
119,6/10/2022,9:48,0:01:05,Data Engineer,Yes,66k-85k,Consulti,Python,Somewhat happy,Very happy,Very happy,Happy,Happy,7.0,Neither easy nor difficult,Better Salary,Male,Canada,Masters,White or Caucasian,75.5,41-45
120,6/10/2022,9:49,0:01:29,Data Analyst,Yes,66k-85k,Healthcare,Other:Excel/SQL,Very happy,Somewhat unhappy,Extremely happy,Happy,Extremely happy,8.0,Easy,Good Work/Life Balance,Male,United States,Bachelors,White or Caucasian,75.5,21-25
121,6/10/2022,9:49,0:03:57,Student/Looking/None,No,0-40k,State Government,R,Very unhappy,Overjoyed,Happy,Extremely unhappy,Extremely unhappy,0.0,Difficult,Better Salary,Male,United States,Others,Black or African American,20.0,21-25
122,6/10/2022,9:51,0:01:36,Data Analyst,Yes,66k-85k,Marketing,Python,Overjoyed,Extremely happy,Overjoyed,Overjoyed,Extremely happy,8.0,Difficult,Good Work/Life Balance,Male,United States,Bachelors,White or Caucasian,75.5,26-30
123,6/10/2022,9:54,0:01:41,Data Analyst,No,41k-65k,Tech,R,Neutral,Very happy,Extremely happy,Extremely happy,Somewhat happy,7.0,Easy,Better Salary,Male,Canada,Bachelors,Asian or Asian American,53.0,21-25
124,6/10/2022,9:55,0:01:37,Student/Looking/None,Yes,0-40k,Culture,Python,Very unhappy,Very unhappy,Very unhappy,Extremely unhappy,Extremely unhappy,3.0,Difficult,Remote Work,Female,United Kingdom,Masters,White or Caucasian,20.0,41-45
125,6/10/2022,9:56,0:01:30,Educator,Yes,41k-65k,Education,None,Extremely unhappy,Extremely unhappy,Unhappy,Extremely unhappy,Extremely unhappy,0.0,Very Difficult,Good Work/Life Balance,Female,United States,Bachelors,Black or African American,53.0,41-45
126,6/10/2022,9:57,0:01:26,Business Analyst,No,0-40k,Tech,Python,Extremely unhappy,Happy,Somewhat happy,Somewhat happy,Somewhat unhappy,1.0,Neither easy nor difficult,Better Salary,Male,India,Masters,Asian or Asian American,20.0,21-25
127,6/10/2022,9:58,0:02:24,Data Analyst,Yes,86k-105k,Tech,R,Extremely happy,Ecstatic,Ecstatic,Ecstatic,Unhappy,7.0,Easy,Remote Work,Male,United States,Masters,White or Caucasian,95.5,36-40
128,6/10/2022,9:58,0:02:51,Business Intelligence Engineer,No,0-40k,Tech,Python,Somewhat happy,Happy,Happy,Happy,Happy,4.0,Easy,Better Salary,Male,Costa Rica,Bachelors,Hispanic or Latino,20.0,21-25
129,6/10/2022,10:01,0:01:37,Data Analyst,Yes,66k-85k,Education,R,Very happy,Ecstatic,Ecstatic,Ecstatic,Extremely happy,10.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Bachelors,White or Caucasian,75.5,26-30
130,6/10/2022,10:03,0:01:06,Data Analyst,No,41k-65k,Healthcare,Python,Very unhappy,Unhappy,Extremely happy,Very happy,Extremely unhappy,0.0,Difficult,Better Salary,Male,United States,Bachelors,Asian or Asian American,53.0,21-25
131,6/10/2022,10:03,0:01:13,Data Analyst,Yes,106k-125k,Healthcare,R,Ecstatic,Ecstatic,Ecstatic,Ecstatic,Ecstatic,10.0,Very Easy,Good Culture,Male,United States,Masters,White or Caucasian,115.5,36-40
132,6/10/2022,10:05,0:03:29,Data Analyst,Yes,0-40k,Tech,Python,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Happy,8.0,Difficult,Good Work/Life Balance,Male,Pakistan,Bachelors,Asian or Asian American,20.0,21-25
133,6/10/2022,10:05,0:01:17,Data Analyst,No,0-40k,Government,R,Very unhappy,Happy,Neutral,Somewhat unhappy,Somewhat happy,6.0,Neither easy nor difficult,Good Work/Life Balance,Female,Australia,Bachelors,White or Caucasian,20.0,21-25
134,6/10/2022,10:05,0:02:03,Data Analyst,Yes,66k-85k,Distribution,R,Extremely happy,Overjoyed,Extremely happy,Very happy,Very happy,8.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Masters,White or Caucasian,75.5,26-30
135,6/10/2022,10:06,0:01:16,Data Analyst,No,41k-65k,Manufacturing,Python,Unhappy,Happy,Unhappy,Somewhat unhappy,Unhappy,2.0,Easy,Better Salary,Male,Ireland ,Masters,White or Caucasian,53.0,26-30
136,6/10/2022,10:06,0:02:18,Data Analyst,Yes,41k-65k,Healthcare,R,Somewhat unhappy,Happy,Neutral,Happy,Neutral,6.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,36-40
137,6/10/2022,10:08,0:01:22,Data Analyst,Yes,66k-85k,Healthcare,Python,Somewhat unhappy,Somewhat happy,Neutral,Somewhat happy,Neutral,4.0,Neither easy nor difficult,Better Salary,Female,United States,Bachelors,White or Caucasian,75.5,31-35
138,6/10/2022,10:11,0:02:03,Data Analyst,Yes,0-40k,Finance,C/C++,Somewhat happy,Unhappy,Neutral,Somewhat unhappy,Somewhat unhappy,3.0,Difficult,Good Work/Life Balance,Female,South Africa,Bachelors,Black or African American,20.0,21-25
139,6/10/2022,10:12,0:02:04,Data Analyst,Yes,0-40k,Healthcare,Python,Unhappy,Happy,Happy,Somewhat happy,Neutral,5.0,Easy,Better Salary,Female,Poland,Bachelors,White or Caucasian,20.0,26-30
140,6/10/2022,10:13,0:01:28,Data Analyst,Yes,66k-85k,Healthcare,SQL,Very happy,Extremely happy,Extremely happy,Extremely happy,Extremely happy,7.0,Very Easy,Better Salary,Male,United States,Bachelors,White or Caucasian,75.5,26-30
141,6/10/2022,10:13,0:01:39,Data Analyst,Yes,66k-85k,Tech,Python,Overjoyed,Ecstatic,Ecstatic,Ecstatic,Very happy,9.0,Neither easy nor difficult,Better Salary,Female,United States,Bachelors,Black or African American,75.5,36-40
142,6/10/2022,10:16,0:00:53,Research Associate,No,0-40k,Education,Python,Very unhappy,Very unhappy,Very unhappy,Extremely unhappy,Extremely unhappy,2.0,Easy,Good Work/Life Balance,Female,India,Masters,Asian or Asian American,20.0,26-30
143,6/10/2022,10:18,0:01:46,Data Analyst,Yes,66k-85k,Finance,SQL,Extremely happy,Extremely happy,Very happy,Very happy,Ecstatic,10.0,Very Easy,Good Work/Life Balance,Male,United States,Bachelors,Mixed ( Caucasian / African-American ),75.5,21-25
144,6/10/2022,10:19,0:02:45,Data Analyst,Yes,0-40k,Telecommunication,Python,Somewhat unhappy,Unhappy,Neutral,Unhappy,Unhappy,2.0,Neither easy nor difficult,Good Culture,Male,Mozambique,Bachelors,Black or African American,20.0,26-30
145,6/10/2022,10:20,0:01:44,Analytics Manager,No,150k-225k,Tech,R,Extremely happy,Ecstatic,Overjoyed,Very happy,Somewhat happy,5.0,Neither easy nor difficult,Remote Work,Male,United States,Masters,White or Caucasian,187.5,31-35
146,6/10/2022,10:21,0:05:11,Data Analyst,Yes,0-40k,Finance,SQL,Unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Unhappy,4.0,Neither easy nor difficult,Good Work/Life Balance,Female,Egypt,Bachelors,Half Asian half African ,20.0,21-25
147,6/10/2022,10:23,0:01:48,Student/Looking/None,No,0-40k,Tech,Python,Somewhat unhappy,Somewhat happy,Somewhat happy,Neutral,Neutral,5.0,Neither easy nor difficult,Better Salary,Male,India,Bachelors,Brown,20.0,26-30
148,6/10/2022,10:25,0:03:42,Data Analyst,Yes,106k-125k,Cons,DAX,Extremely happy,Extremely happy,Extremely happy,Extremely happy,Ecstatic,10.0,Easy,Good Work/Life Balance,Male,United States,Bachelors,Prefer not to ans,115.5,36-40
149,6/10/2022,10:25,0:22:47,Business Analyst,No,41k-65k,Wholesale,R,Somewhat unhappy,Neutral,Somewhat happy,Somewhat happy,Neutral,3.0,Difficult,Better Salary,Male,United States,Masters,White or Caucasian,53.0,21-25
150,6/10/2022,10:27,0:01:20,Data Analyst,No,41k-65k,Healthcare,R,Very unhappy,Neutral,Somewhat unhappy,Unhappy,Extremely unhappy,6.0,Difficult,Better Salary,Male,United Kingdom,Masters,Asian or Asian American,53.0,21-25
151,6/10/2022,10:27,0:01:24,Data Engineer,No,86k-105k,Healthcare,R,Extremely happy,Ecstatic,Extremely happy,Extremely happy,Overjoyed,10.0,Neither easy nor difficult,Good Culture,Male,United States,Masters,Black or African American,95.5,26-30
152,6/10/2022,10:29,0:02:07,Data Analyst,Yes,41k-65k,Energy ,Python,Somewhat happy,Somewhat happy,Very happy,Very happy,Very happy,7.0,Easy,Better Salary,Male,United Kingdom,Bachelors,White or Caucasian,53.0,31-35
153,6/10/2022,10:29,0:01:34,Data Analyst,Yes,41k-65k,Government programs,Python,Extremely unhappy,Very happy,Very happy,Very happy,Extremely unhappy,7.0,Easy,Good Culture,Male,United States,Bachelors,Asian or Asian American,53.0,26-30
154,6/10/2022,10:33,0:02:50,Data Analyst,No,41k-65k,Healthcare,R,Very happy,Somewhat happy,Extremely happy,Happy,Somewhat happy,10.0,Difficult,"Want to move from Australia to Canada, so position in desired country ",Female,Australia,Masters,White or Caucasian,53.0,26-30
155,6/10/2022,10:37,0:03:01,Data Engineer,Yes,41k-65k,Tech,Python,Extremely unhappy,Very happy,Somewhat happy,Extremely unhappy,Extremely unhappy,7.0,Neither easy nor difficult,Remote Work,Male,Canada,Masters,White or Caucasian,53.0,36-40
156,6/10/2022,10:39,0:01:44,Data Analyst,No,41k-65k,Supply Chain,R,Neutral,Happy,Somewhat happy,Neutral,Somewhat happy,6.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,21-25
157,6/10/2022,10:40,0:01:36,Data Analyst,No,0-40k,Finance,SQL,Neutral,Neutral,Somewhat happy,Happy,Happy,0.0,Difficult,Better Salary,Male,Israel,High School,White or Caucasian,20.0,21-25
158,6/10/2022,10:41,0:02:45,Data Analyst,No,125k-150k,Finance,SQL,Very happy,Extremely happy,Extremely happy,Extremely happy,Very happy,8.0,Easy,Better Salary,Male,United States,Bachelors,White or Caucasian,137.5,51-55
159,6/10/2022,10:43,0:04:22,Data Analyst,Yes,41k-65k,Finance,Python,Happy,Ecstatic,Somewhat unhappy,Somewhat happy,Extremely unhappy,10.0,Difficult,Good Culture,Male,Singapore,Bachelors,Asian or Asian American,53.0,26-30
160,6/10/2022,10:47,0:01:07,Data Analyst,No,106k-125k,Healthcare,Other,Happy,Happy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,3.0,Neither easy nor difficult,Better Salary,Female,United States,Masters,White or Caucasian,115.5,26-30
161,6/10/2022,10:50,0:01:39,Student/Looking/None,No,0-40k,Tech,Python,Somewhat unhappy,Very happy,Happy,Very happy,Extremely unhappy,0.0,Difficult,Better Salary,Male,Brazil,Associates,White or Caucasian,20.0,41-45
162,6/10/2022,10:52,0:01:24,Data Analyst,Yes,41k-65k,Telecommunication,R,Somewhat unhappy,Somewhat happy,Happy,Neutral,Somewhat unhappy,7.0,Difficult,All of the options are important to me when looking for a new job,Male,United States,Masters,White or Caucasian,53.0,26-30
163,6/10/2022,10:52,0:02:39,Data Analyst,Yes,0-40k,Tech,Python,Extremely happy,Extremely happy,Extremely happy,Extremely happy,Extremely happy,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,Costa Rica,Bachelors,Hispanic or Latino,20.0,41-45
164,6/10/2022,10:53,0:01:30,Data Engineer,Yes,0-40k,Tech,Python,Somewhat happy,Somewhat happy,Happy,Somewhat happy,Happy,7.0,Neither easy nor difficult,Remote Work,Male,Spain,Bachelors,White or Caucasian,20.0,21-25
165,6/10/2022,10:53,0:01:14,Data Analyst,No,41k-65k,Entertainment,R,Very unhappy,Unhappy,Happy,Neutral,Unhappy,0.0,Easy,Better Salary,Male,United States,Bachelors,Hispanic or Latino,53.0,26-30
166,6/10/2022,10:54,0:01:05,Data Analyst,No,66k-85k,Construction,Python,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Unhappy,Unhappy,1.0,Neither easy nor difficult,Good Culture,Male,United States,Masters,White or Caucasian,75.5,26-30
167,6/10/2022,10:55,0:01:14,Data Analyst,Yes,86k-105k,Healthcare,VBA,Somewhat unhappy,Neutral,Neutral,Neutral,Very unhappy,3.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,Hispanic or Latino,95.5,26-30
168,6/10/2022,10:56,0:01:45,Data Analyst,Yes,66k-85k,Retail,Python,Extremely unhappy,Extremely unhappy,Very happy,Very unhappy,Extremely unhappy,9.0,Difficult,Better Salary,Male,Canada,Bachelors,Asian or Asian American,75.5,31-35
169,6/10/2022,10:56,0:01:44,Data Analyst,Yes,66k-85k,Aerospace,Python,Extremely happy,Ecstatic,Ecstatic,Ecstatic,Ecstatic,10.0,Easy,Better Salary,Male,United States,Bachelors,Hispanic or Latino,75.5,26-30
170,6/10/2022,11:00,0:01:29,Data Analyst,Yes,0-40k,Tech,R,Unhappy,Extremely happy,Extremely happy,Very happy,Happy,9.0,Neither easy nor difficult,Better Salary,Male,Kenya,Bachelors,Black or African American,20.0,31-35
171,6/10/2022,11:04,0:02:38,Student/Looking/None,Yes,41k-65k,Foodservice Franchising,Python,Unhappy,Neutral,Happy,Very unhappy,Very unhappy,1.0,Very Difficult,Better Salary,Male,Canada,Associates,Asian or Asian American,53.0,31-35
172,6/10/2022,11:04,0:01:04,Data Analyst,No,150k-225k,Tech,Python,Ecstatic,Ecstatic,Ecstatic,Extremely happy,Ecstatic,10.0,Easy,Good Work/Life Balance,Male,United States,Bachelors,Asian or Asian American,187.5,26-30
173,6/10/2022,11:09,0:01:51,Data Scientist,Yes,125k-150k,Telecommunication,Python,Unhappy,Neutral,Very unhappy,Somewhat unhappy,Very unhappy,7.0,Neither easy nor difficult,Better Salary,Male,India,Bachelors,Indian,137.5,26-30
174,6/10/2022,11:09,0:01:35,Data Engineer,Yes,41k-65k,Finance,Python,Unhappy,Neutral,Somewhat happy,Somewhat happy,Neutral,6.0,Difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,21-25
175,6/10/2022,11:11,0:01:03,Data Analyst,No,66k-85k,Healthcare,Python,Somewhat unhappy,Somewhat unhappy,Neutral,Very unhappy,Unhappy,2.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,White or Caucasian,75.5,26-30
176,6/10/2022,11:13,0:02:17,Data Analyst,No,66k-85k,Healthcare,Python,Extremely happy,Ecstatic,Ecstatic,Extremely happy,Somewhat happy,7.0,Neither easy nor difficult,Good Work/Life Balance,Female,United States,Masters,White or Caucasian,75.5,31-35
177,6/10/2022,11:13,0:01:39,Data Analyst,No,66k-85k,Tech,Python,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,4.0,Easy,Remote Work,Male,United States,Bachelors,White or Caucasian,75.5,26-30
178,6/10/2022,11:14,0:00:53,Student/Looking/None,No,0-40k,Healthcare,Python,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Masters,Asian or Asian American,20.0,21-25
179,6/10/2022,11:15,0:01:19,Data Analyst,No,86k-105k,Government ,Other:Stata,Neutral,Somewhat happy,Somewhat unhappy,Neutral,Unhappy,3.0,Easy,Good Culture,Male,United States,Masters,White or Caucasian,95.5,31-35
180,6/10/2022,11:18,0:01:16,Data Engineer,No,86k-105k,Tech,Python,Somewhat happy,Somewhat unhappy,Somewhat happy,Somewhat happy,Neutral,5.0,Difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,95.5,21-25
181,6/10/2022,11:18,0:02:08,Student/Looking/None,No,41k-65k,Construction,Excel,Ecstatic,Neutral,Ecstatic,Ecstatic,Neutral,10.0,Neither easy nor difficult,Remote Work,Male,Belgium,Masters,White or Caucasian,53.0,31-35
182,6/10/2022,11:20,0:01:31,Data Analyst,Yes,0-40k,Healthcare,R,Happy,Extremely happy,Happy,Happy,Extremely happy,10.0,Easy,Remote Work,Male,Argentina,High School,Hispanic or Latino,20.0,26-30
183,6/10/2022,11:22,0:01:39,Data Analyst,Yes,0-40k,Education,Python,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Very Difficult,Better Salary,Male,Nigeria,Bachelors,Black or African American,20.0,31-35
184,6/10/2022,11:22,0:00:55,Data Analyst,No,66k-85k,Finance,Python,Very happy,Somewhat happy,Somewhat happy,Very happy,Overjoyed,10.0,Very Easy,Remote Work,Male,United Kingdom,Bachelors,White or Caucasian,75.5,21-25
185,6/10/2022,11:23,0:02:19,Analyst,No,66k-85k,Tech,Python,Extremely unhappy,Ecstatic,Happy,Extremely unhappy,Extremely unhappy,0.0,Difficult,Better Salary,Male,United States,Bachelors,Indian,75.5,26-30
186,6/10/2022,11:25,0:01:59,Analytics Engineer,No,86k-105k,Entertainment ,Python,Somewhat happy,Somewhat happy,Happy,Neutral,Somewhat happy,5.0,Difficult,Better Salary,Male,United States,Masters,Hispanic or Latino,95.5,21-25
187,6/10/2022,11:25,0:01:52,Data Analyst,Yes,41k-65k,Insurance,Python,Happy,Extremely happy,Ecstatic,Overjoyed,Very happy,9.0,Easy,Better Salary,Male,United States,Bachelors,N/A,53.0,26-30
188,6/10/2022,11:29,0:03:30,Data Analyst,No,0-40k,Finance,Python,Very unhappy,Unhappy,Neutral,Neutral,Neutral,5.0,Neither easy nor difficult,Better Salary,Male,India,Bachelors,Asian or Asian American,20.0,21-25
189,6/10/2022,11:39,0:03:54,Data Analyst,No,0-40k,Logistics,Python,Somewhat unhappy,Somewhat happy,Overjoyed,Overjoyed,Neutral,8.0,Very Difficult,Both Good work / life Balance and Good Culture,Male,United Arab Emirates,Masters,Black or African American,20.0,31-35
190,6/10/2022,11:40,0:02:38,Data Analyst,Yes,0-40k,Telecommunication,R,Somewhat happy,Very happy,Somewhat happy,Somewhat happy,Somewhat happy,7.0,Difficult,Better Salary,Male,Egypt,Bachelors,White or Caucasian,20.0,41-45
191,6/10/2022,11:45,0:02:07,Data Analyst,Yes,0-40k,Tech,Python,Extremely unhappy,Very unhappy,Very unhappy,Extremely unhappy,Extremely unhappy,2.0,Difficult,Better Salary,Male,India,Bachelors,Asian or Asian American,20.0,21-25
192,6/10/2022,11:46,0:03:59,Data Analyst,No,0-40k,Finance,None,Neutral,Very happy,Extremely happy,Extremely happy,Extremely happy,9.0,Neither easy nor difficult,an environment that encourages growth like where I work currently and better salary ,Male,Nigeria,Bachelors,Black or African American,20.0,21-25
193,6/10/2022,11:47,0:02:01,Data Analyst,No,0-40k,Finance,Python,Happy,Somewhat happy,Happy,Somewhat happy,Happy,6.0,Neither easy nor difficult,Better Salary,Male,Somalia,Masters,African,20.0,26-30
194,6/10/2022,11:48,0:03:38,Data Analyst,No,150k-225k,Finance,Other,Very happy,Very happy,Very happy,Neutral,Somewhat happy,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Bachelors,White or Caucasian,187.5,31-35
195,6/10/2022,11:49,0:02:40,Data Analyst,No,66k-85k,Energy (oil and gas),Other:Altery,Very happy,Neutral,Ecstatic,Overjoyed,Very happy,10.0,Difficult,Better Salary,Male,United States,Bachelors,Hispanic or Latino,75.5,21-25
196,6/10/2022,11:49,0:01:34,Data Analyst,Yes,66k-85k,Tech,Python,Happy,Happy,Happy,Happy,Happy,6.0,Difficult,Remote Work,Female,United Kingdom,Masters,Asian or Asian American,75.5,31-35
197,6/10/2022,11:50,0:00:48,Data Analyst,No,106k-125k,Finance,Python,Neutral,Neutral,Neutral,Neutral,Neutral,4.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,115.5,21-25
198,6/10/2022,11:51,0:00:57,Data Analyst,No,0-40k,Market research,Python,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,5.0,Neither easy nor difficult,Remote Work,Female,Kosovo,Masters,White or Caucasian,20.0,26-30
199,6/10/2022,11:53,0:01:45,Data Analyst,Yes,0-40k,Finance,C/C++,Somewhat happy,Ecstatic,Ecstatic,Extremely happy,Ecstatic,10.0,Very Easy,Good Work/Life Balance,Male,United Kingdom,Bachelors,White or Caucasian,20.0,26-30
200,6/10/2022,11:54,0:02:41,Data Analyst,Yes,0-40k,Tech,Python,Extremely unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,6.0,Neither easy nor difficult,Remote Work,Male,Nigeria,Bachelors,Black or African American,20.0,26-30
201,6/10/2022,11:55,0:03:43,Analyst Primary Market Intelligence,Yes,0-40k,Healthcare,Python,Ecstatic,Unhappy,Extremely happy,Somewhat happy,Extremely unhappy,6.0,Easy,Better Salary,Male,India,Masters,Indian,20.0,21-25
202,6/10/2022,11:55,0:01:28,Data Analyst,No,86k-105k,Telecommunication,None,Very happy,Very happy,Somewhat happy,Very happy,Very happy,7.0,Easy,Remote Work,Male,United States,High School,Hispanic or Latino,95.5,36-40
203,6/10/2022,12:01,0:02:59,Data Analyst,No,41k-65k,Government,Other,Happy,Ecstatic,Extremely happy,Extremely happy,Neutral,4.0,Neither easy nor difficult,Better Salary,Female,Canada,Bachelors,Other (Please Specify),53.0,26-30
204,6/10/2022,12:01,0:04:44,Data Analyst,No,41k-65k,Other (Please Specify),Python,Extremely unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,,Difficult,Remote Work,Male,India,Masters,Asian or Asian American,53.0,26-30
205,6/10/2022,12:03,0:01:40,Data Analyst,Yes,0-40k,Education,Python,Very unhappy,Unhappy,Unhappy,Somewhat unhappy,Somewhat unhappy,4.0,Neither easy nor difficult,Better Salary,Male,Nigeria,Masters,Black or African American,20.0,26-30
206,6/10/2022,12:04,0:02:21,Software Engineer,No,86k-105k,hospitality,C#,Somewhat happy,Unhappy,Extremely unhappy,Unhappy,Extremely unhappy,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,United Kingdom,Bachelors,White or Caucasian,95.5,31-35
207,6/10/2022,12:10,0:02:58,Student/Looking/None,No,0-40k,Tech,Python,Extremely unhappy,Neutral,Very happy,Happy,Very happy,8.0,Easy,Learning possibilities,Male,Belgium,Masters,White or Caucasian,20.0,21-25
208,6/10/2022,12:11,0:02:23,Data Analyst,Yes,0-40k,Telecommunication,Python,Somewhat happy,Extremely happy,Extremely happy,Overjoyed,Very happy,9.0,Very Easy,Better Salary,Male,Iraq,Bachelors,Kurdish,20.0,26-30
209,6/10/2022,12:16,0:01:21,Data Analyst,No,125k-150k,Tech,Python,Ecstatic,Somewhat happy,Ecstatic,Ecstatic,Happy,10.0,Difficult,Good Work/Life Balance,Male,United States,Bachelors,Hispanic or Latino,137.5,26-30
210,6/10/2022,12:16,0:00:59,Student/Looking/None,No,0-40k,Education,R,Somewhat happy,Neutral,Neutral,Neutral,Somewhat happy,5.0,Difficult,Good Work/Life Balance,Male,Germany,Masters,White or Caucasian,20.0,21-25
211,6/10/2022,12:23,0:02:52,Data Analyst,Yes,0-40k,Tech,Python,Very unhappy,Neutral,Overjoyed,Very happy,Extremely happy,10.0,Easy,Better Salary,Male,Colombia,Bachelors,Hispanic or Latino,20.0,31-35
212,6/10/2022,12:23,0:01:01,Data Analyst,Yes,66k-85k,Finance,Python,Neutral,Neutral,Happy,Somewhat unhappy,Neutral,0.0,Neither easy nor difficult,Remote Work,Male,Ireland ,Masters,White or Caucasian,75.5,26-30
213,6/10/2022,12:25,0:02:51,Data Analyst,Yes,0-40k,Finance,Python,Very unhappy,Very unhappy,Very unhappy,Very unhappy,Very unhappy,1.0,Very Difficult,Better Salary,Male,India,Bachelors,Indian,20.0,31-35
214,6/10/2022,12:28,0:01:57,Data Analyst,No,0-40k,Automotive,None,Somewhat happy,Unhappy,Somewhat happy,Somewhat happy,Somewhat unhappy,4.0,Difficult,Better Salary,Male,Romania,Bachelors,White or Caucasian,20.0,21-25
215,6/10/2022,12:29,0:01:21,Data Analyst,No,0-40k,Real Estate,Python,Neutral,Very happy,Overjoyed,Somewhat happy,Unhappy,8.0,Easy,Better Salary,Male,Spain,Bachelors,White or Caucasian,20.0,21-25
216,6/10/2022,12:32,0:02:10,Data Engineer,No,0-40k,Healthcare,Python,Happy,Happy,Happy,Somewhat happy,Neutral,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,Mexico,Bachelors,Hispanic or Latino,20.0,21-25
217,6/10/2022,12:40,0:02:40,Data Analyst,Yes,150k-225k,Education,SQL,Extremely happy,Overjoyed,Overjoyed,Very happy,Happy,6.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,Black or African American,187.5,26-30
218,6/10/2022,12:47,0:01:24,Data Analyst,Yes,66k-85k,Chemical Manufacturing,Python,Neutral,Ecstatic,Ecstatic,Extremely happy,Somewhat happy,6.0,Neither easy nor difficult,Remote Work,Male,United States,Bachelors,Asian or Asian American,75.5,31-35
219,6/10/2022,12:55,0:01:55,Data Analyst,Yes,41k-65k,Tech,Python,Somewhat unhappy,Somewhat happy,Neutral,Neutral,Neutral,4.0,Neither easy nor difficult,Good Work/Life Balance,Male,Canada,Bachelors,White or Caucasian,53.0,46-50
